chat_row,text_message,Tokens,Adjusted_Tokens,Sentiment,Positive_Count,Negative_Count,Sentiment_TextBlob
212,today was the negative day for my endurance. I feel so bad about it.,"['today', 'negative', 'day', 'endurance', '.', 'feel', 'bad', '.']","['today', 'negative', 'day', 'endurance', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
213,i love my gmo-free session today!,"['love', 'gmo-free', 'session', 'today', '!']","['love', 'gmo-free', 'session', 'today', '!']",Positive,1,0,Positive
214,i fantastic my stretching session today!,"['fantastic', 'stretching', 'session', 'today', '!']","['fantastic', 'stretching', 'session', 'today', '!']",Positive,1,0,Positive
215,today was the negative day for my calorie surplus. I feel so poor about it.,"['today', 'negative', 'day', 'calorie', 'surplus', '.', 'feel', 'poor', '.']","['today', 'negative', 'day', 'calorie', 'surplus', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
216,today was the poor day for my fats. I feel so poor about it.,"['today', 'poor', 'day', 'fats', '.', 'feel', 'poor', '.']","['today', 'poor', 'day', 'fats', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
217,today was the hate day for my processed foods. I feel so poor about it.,"['today', 'hate', 'day', 'processed', 'foods', '.', 'feel', 'poor', '.']","['today', 'hate', 'day', 'processed', 'foods', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
218,today was the horrible day for my stamina. I feel so disappointing about it.,"['today', 'horrible', 'day', 'stamina', '.', 'feel', 'disappointing', '.']","['today', 'horrible', 'day', 'stamina', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
219,i happy my active lifestyle session today!,"['happy', 'active', 'lifestyle', 'session', 'today', '!']","['happy', 'active', 'lifestyle', 'session', 'today', '!']",Positive,1,0,Positive
220,i excellent my meal plan session today!,"['excellent', 'meal', 'plan', 'session', 'today', '!']","['excellent', 'meal', 'plan', 'session', 'today', '!']",Positive,1,0,Positive
221,today was the horrible day for my meal prep. I feel so disappointing about it.,"['today', 'horrible', 'day', 'meal', 'prep', '.', 'feel', 'disappointing', '.']","['today', 'horrible', 'day', 'meal', 'prep', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
222,i amazing my push-up session today! It really made a difference in my yoga!,"['amazing', 'push-up', 'session', 'today', '!', 'really', 'made', 'difference', 'yoga', '!']","['amazing', 'push-up', 'session', 'today', '!', 'really', 'made', 'difference', 'yoga', '!']",Positive,1,0,Positive
223,i excellent my yoga session today!,"['excellent', 'yoga', 'session', 'today', '!']","['excellent', 'yoga', 'session', 'today', '!']",Positive,1,0,Positive
224,i excellent my hydration session today! It really made a difference in my powerlifting!,"['excellent', 'hydration', 'session', 'today', '!', 'really', 'made', 'difference', 'powerlifting', '!']","['excellent', 'hydration', 'session', 'today', '!', 'really', 'made', 'difference', 'powerlifting', '!']",Positive,1,0,Positive
225,today was the worst day for my sugar-free. I feel so worst about it.,"['today', 'worst', 'day', 'sugar-free', '.', 'feel', 'worst', '.']","['today', 'worst', 'day', 'sugar-free', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
226,today was the sad day for my nutrient-dense. I feel so disappointing about it.,"['today', 'sad', 'day', 'nutrient-dense', '.', 'feel', 'disappointing', '.']","['today', 'sad', 'day', 'nutrient-dense', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
227,today was the disappointing day for my plank. I feel so sad about it.,"['today', 'disappointing', 'day', 'plank', '.', 'feel', 'sad', '.']","['today', 'disappointing', 'day', 'plank', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
228,today was the bad day for my deadlift. I feel so horrible about it.,"['today', 'bad', 'day', 'deadlift', '.', 'feel', 'horrible', '.']","['today', 'bad', 'day', 'deadlift', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
229,today was the hate day for my low-sodium. I feel so hate about it.,"['today', 'hate', 'day', 'low-sodium', '.', 'feel', 'hate', '.']","['today', 'hate', 'day', 'low-sodium', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
230,today was the negative day for my sports. I feel so disappointing about it.,"['today', 'negative', 'day', 'sports', '.', 'feel', 'disappointing', '.']","['today', 'negative', 'day', 'sports', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
231,today was the worst day for my recovery. I feel so poor about it.,"['today', 'worst', 'day', 'recovery', '.', 'feel', 'poor', '.']","['today', 'worst', 'day', 'recovery', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
232,i fantastic my health session today!,"['fantastic', 'health', 'session', 'today', '!']","['fantastic', 'health', 'session', 'today', '!']",Positive,1,0,Positive
233,i good my flexibility session today!,"['good', 'flexibility', 'session', 'today', '!']","['good', 'flexibility', 'session', 'today', '!']",Positive,1,0,Positive
234,i positive my muscle gain session today!,"['positive', 'muscle', 'gain', 'session', 'today', '!']","['positive', 'muscle', 'gain', 'session', 'today', '!']",Positive,1,0,Positive
235,today was the negative day for my active lifestyle. I feel so bad about it.,"['today', 'negative', 'day', 'active', 'lifestyle', '.', 'feel', 'bad', '.']","['today', 'negative', 'day', 'active', 'lifestyle', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
236,i great my hiit session today! It really made a difference in my active lifestyle!,"['great', 'hiit', 'session', 'today', '!', 'really', 'made', 'difference', 'active', 'lifestyle', '!']","['great', 'hiit', 'session', 'today', '!', 'really', 'made', 'difference', 'active', 'lifestyle', '!']",Positive,1,0,Positive
237,i fantastic my carbohydrates session today!,"['fantastic', 'carbohydrates', 'session', 'today', '!']","['fantastic', 'carbohydrates', 'session', 'today', '!']",Positive,1,0,Positive
238,i good my personal trainer session today!,"['good', 'personal', 'trainer', 'session', 'today', '!']","['good', 'personal', 'trainer', 'session', 'today', '!']",Positive,1,0,Positive
239,i love my resistance training session today! It really made a difference in my performance!,"['love', 'resistance', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']","['love', 'resistance', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']",Positive,1,0,Positive
240,i good my squat session today! It really made a difference in my fitness!,"['good', 'squat', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', '!']","['good', 'squat', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', '!']",Positive,1,0,Positive
241,today was the disappointing day for my balanced diet. I feel so worst about it.,"['today', 'disappointing', 'day', 'balanced', 'diet', '.', 'feel', 'worst', '.']","['today', 'disappointing', 'day', 'balanced', 'diet', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
242,today was the negative day for my carbohydrates. I feel so horrible about it.,"['today', 'negative', 'day', 'carbohydrates', '.', 'feel', 'horrible', '.']","['today', 'negative', 'day', 'carbohydrates', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
243,today was the poor day for my muscle gain. I feel so bad about it.,"['today', 'poor', 'day', 'muscle', 'gain', '.', 'feel', 'bad', '.']","['today', 'poor', 'day', 'muscle', 'gain', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
244,i positive my motivation session today!,"['positive', 'motivation', 'session', 'today', '!']","['positive', 'motivation', 'session', 'today', '!']",Positive,1,0,Positive
245,i amazing my water intake session today! It really made a difference in my plank!,"['amazing', 'water', 'intake', 'session', 'today', '!', 'really', 'made', 'difference', 'plank', '!']","['amazing', 'water', 'intake', 'session', 'today', '!', 'really', 'made', 'difference', 'plank', '!']",Positive,1,0,Positive
246,i great my cycling session today! It really made a difference in my workout!,"['great', 'cycling', 'session', 'today', '!', 'really', 'made', 'difference', 'workout', '!']","['great', 'cycling', 'session', 'today', '!', 'really', 'made', 'difference', 'workout', '!']",Positive,1,0,Positive
247,today was the hate day for my water intake. I feel so hate about it.,"['today', 'hate', 'day', 'water', 'intake', '.', 'feel', 'hate', '.']","['today', 'hate', 'day', 'water', 'intake', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
248,i fantastic my vitamins session today! It really made a difference in my push-up!,"['fantastic', 'vitamins', 'session', 'today', '!', 'really', 'made', 'difference', 'push-up', '!']","['fantastic', 'vitamins', 'session', 'today', '!', 'really', 'made', 'difference', 'push-up', '!']",Positive,1,0,Positive
249,i positive my nutrition session today! It really made a difference in my bodyweight exercises!,"['positive', 'nutrition', 'session', 'today', '!', 'really', 'made', 'difference', 'bodyweight', 'exercises', '!']","['positive', 'nutrition', 'session', 'today', '!', 'really', 'made', 'difference', 'bodyweight', 'exercises', '!']",Positive,1,0,Positive
250,i happy my diet session today!,"['happy', 'diet', 'session', 'today', '!']","['happy', 'diet', 'session', 'today', '!']",Positive,1,0,Positive
251,i happy my fitness journey session today!,"['happy', 'fitness', 'journey', 'session', 'today', '!']","['happy', 'fitness', 'journey', 'session', 'today', '!']",Positive,1,0,Positive
252,i happy my calorie deficit session today!,"['happy', 'calorie', 'deficit', 'session', 'today', '!']","['happy', 'calorie', 'deficit', 'session', 'today', '!']",Positive,1,0,Positive
253,today was the sad day for my workout. I feel so bad about it.,"['today', 'sad', 'day', 'workout', '.', 'feel', 'bad', '.']","['today', 'sad', 'day', 'workout', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
254,i good my weight loss session today!,"['good', 'weight', 'loss', 'session', 'today', '!']","['good', 'weight', 'loss', 'session', 'today', '!']",Positive,1,0,Positive
255,today was the sad day for my portion control. I feel so hate about it.,"['today', 'sad', 'day', 'portion', 'control', '.', 'feel', 'hate', '.']","['today', 'sad', 'day', 'portion', 'control', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
256,today was the worst day for my vitamins. I feel so poor about it.,"['today', 'worst', 'day', 'vitamins', '.', 'feel', 'poor', '.']","['today', 'worst', 'day', 'vitamins', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
257,i great my strength training session today! It really made a difference in my gym!,"['great', 'strength', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'gym', '!']","['great', 'strength', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'gym', '!']",Positive,1,0,Positive
258,today was the horrible day for my resistance training. I feel so worst about it.,"['today', 'horrible', 'day', 'resistance', 'training', '.', 'feel', 'worst', '.']","['today', 'horrible', 'day', 'resistance', 'training', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
259,today was the sad day for my strength training. I feel so poor about it.,"['today', 'sad', 'day', 'strength', 'training', '.', 'feel', 'poor', '.']","['today', 'sad', 'day', 'strength', 'training', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
260,today was the poor day for my resistance training. I feel so negative about it.,"['today', 'poor', 'day', 'resistance', 'training', '.', 'feel', 'negative', '.']","['today', 'poor', 'day', 'resistance', 'training', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
261,i happy my cardiovascular session today! It really made a difference in my wellness!,"['happy', 'cardiovascular', 'session', 'today', '!', 'really', 'made', 'difference', 'wellness', '!']","['happy', 'cardiovascular', 'session', 'today', '!', 'really', 'made', 'difference', 'wellness', '!']",Positive,1,0,Positive
262,i excellent my micronutrients session today! It really made a difference in my workout!,"['excellent', 'micronutrients', 'session', 'today', '!', 'really', 'made', 'difference', 'workout', '!']","['excellent', 'micronutrients', 'session', 'today', '!', 'really', 'made', 'difference', 'workout', '!']",Positive,1,0,Positive
263,i great my nutrient-dense session today!,"['great', 'nutrient-dense', 'session', 'today', '!']","['great', 'nutrient-dense', 'session', 'today', '!']",Positive,1,0,Positive
264,i good my carbohydrates session today! It really made a difference in my muscle!,"['good', 'carbohydrates', 'session', 'today', '!', 'really', 'made', 'difference', 'muscle', '!']","['good', 'carbohydrates', 'session', 'today', '!', 'really', 'made', 'difference', 'muscle', '!']",Positive,1,0,Positive
265,i excellent my intermittent fasting session today! It really made a difference in my fitness goals!,"['excellent', 'intermittent', 'fasting', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', 'goals', '!']","['excellent', 'intermittent', 'fasting', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', 'goals', '!']",Positive,1,0,Positive
266,today was the horrible day for my fitness journey. I feel so poor about it.,"['today', 'horrible', 'day', 'fitness', 'journey', '.', 'feel', 'poor', '.']","['today', 'horrible', 'day', 'fitness', 'journey', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
267,today was the horrible day for my detox. I feel so bad about it.,"['today', 'horrible', 'day', 'detox', '.', 'feel', 'bad', '.']","['today', 'horrible', 'day', 'detox', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
268,i happy my muscle gain session today! It really made a difference in my fit!,"['happy', 'muscle', 'gain', 'session', 'today', '!', 'really', 'made', 'difference', 'fit', '!']","['happy', 'muscle', 'gain', 'session', 'today', '!', 'really', 'made', 'difference', 'fit', '!']",Positive,1,0,Positive
269,today was the poor day for my minerals. I feel so poor about it.,"['today', 'poor', 'day', 'minerals', '.', 'feel', 'poor', '.']","['today', 'poor', 'day', 'minerals', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
270,i great my stamina session today! It really made a difference in my personal trainer!,"['great', 'stamina', 'session', 'today', '!', 'really', 'made', 'difference', 'personal', 'trainer', '!']","['great', 'stamina', 'session', 'today', '!', 'really', 'made', 'difference', 'personal', 'trainer', '!']",Positive,1,0,Positive
271,today was the hate day for my macronutrients. I feel so bad about it.,"['today', 'hate', 'day', 'macronutrients', '.', 'feel', 'bad', '.']","['today', 'hate', 'day', 'macronutrients', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
272,i happy my sugar-free session today! It really made a difference in my sports!,"['happy', 'sugar-free', 'session', 'today', '!', 'really', 'made', 'difference', 'sports', '!']","['happy', 'sugar-free', 'session', 'today', '!', 'really', 'made', 'difference', 'sports', '!']",Positive,1,0,Positive
273,i love my low-carb session today! It really made a difference in my wellness!,"['love', 'low-carb', 'session', 'today', '!', 'really', 'made', 'difference', 'wellness', '!']","['love', 'low-carb', 'session', 'today', '!', 'really', 'made', 'difference', 'wellness', '!']",Positive,1,0,Positive
274,i great my recovery session today! It really made a difference in my performance!,"['great', 'recovery', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']","['great', 'recovery', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']",Positive,1,0,Positive
275,today was the poor day for my vegan. I feel so worst about it.,"['today', 'poor', 'day', 'vegan', '.', 'feel', 'worst', '.']","['today', 'poor', 'day', 'vegan', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
276,i excellent my fats session today! It really made a difference in my cardiovascular!,"['excellent', 'fats', 'session', 'today', '!', 'really', 'made', 'difference', 'cardiovascular', '!']","['excellent', 'fats', 'session', 'today', '!', 'really', 'made', 'difference', 'cardiovascular', '!']",Positive,1,0,Positive
277,i great my low-fat session today!,"['great', 'low-fat', 'session', 'today', '!']","['great', 'low-fat', 'session', 'today', '!']",Positive,1,0,Positive
278,today was the hate day for my weight loss. I feel so horrible about it.,"['today', 'hate', 'day', 'weight', 'loss', '.', 'feel', 'horrible', '.']","['today', 'hate', 'day', 'weight', 'loss', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
279,today was the horrible day for my yoga. I feel so negative about it.,"['today', 'horrible', 'day', 'yoga', '.', 'feel', 'negative', '.']","['today', 'horrible', 'day', 'yoga', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
280,i excellent my calisthenics session today!,"['excellent', 'calisthenics', 'session', 'today', '!']","['excellent', 'calisthenics', 'session', 'today', '!']",Positive,1,0,Positive
281,i fantastic my running session today! It really made a difference in my stamina!,"['fantastic', 'running', 'session', 'today', '!', 'really', 'made', 'difference', 'stamina', '!']","['fantastic', 'running', 'session', 'today', '!', 'really', 'made', 'difference', 'stamina', '!']",Positive,1,0,Positive
282,i positive my sugar-free session today!,"['positive', 'sugar-free', 'session', 'today', '!']","['positive', 'sugar-free', 'session', 'today', '!']",Positive,1,0,Positive
283,today was the horrible day for my balanced diet. I feel so negative about it.,"['today', 'horrible', 'day', 'balanced', 'diet', '.', 'feel', 'negative', '.']","['today', 'horrible', 'day', 'balanced', 'diet', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
284,i great my burpees session today!,"['great', 'burpees', 'session', 'today', '!']","['great', 'burpees', 'session', 'today', '!']",Positive,1,0,Positive
285,today was the negative day for my resistance training. I feel so horrible about it.,"['today', 'negative', 'day', 'resistance', 'training', '.', 'feel', 'horrible', '.']","['today', 'negative', 'day', 'resistance', 'training', '.', 'feel', 'horrible', '.']",Negative,0,2,Negative
286,today was the worst day for my push-up. I feel so negative about it.,"['today', 'worst', 'day', 'push-up', '.', 'feel', 'negative', '.']","['today', 'worst', 'day', 'push-up', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
287,today was the bad day for my deadlift. I feel so sad about it.,"['today', 'bad', 'day', 'deadlift', '.', 'feel', 'sad', '.']","['today', 'bad', 'day', 'deadlift', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
288,today was the hate day for my processed foods. I feel so hate about it.,"['today', 'hate', 'day', 'processed', 'foods', '.', 'feel', 'hate', '.']","['today', 'hate', 'day', 'processed', 'foods', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
289,i fantastic my portion control session today!,"['fantastic', 'portion', 'control', 'session', 'today', '!']","['fantastic', 'portion', 'control', 'session', 'today', '!']",Positive,1,0,Positive
290,today was the worst day for my plank. I feel so hate about it.,"['today', 'worst', 'day', 'plank', '.', 'feel', 'hate', '.']","['today', 'worst', 'day', 'plank', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
291,i excellent my muscle session today!,"['excellent', 'muscle', 'session', 'today', '!']","['excellent', 'muscle', 'session', 'today', '!']",Positive,1,0,Positive
292,today was the sad day for my detox. I feel so negative about it.,"['today', 'sad', 'day', 'detox', '.', 'feel', 'negative', '.']","['today', 'sad', 'day', 'detox', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
293,today was the negative day for my detox. I feel so negative about it.,"['today', 'negative', 'day', 'detox', '.', 'feel', 'negative', '.']","['today', 'negative', 'day', 'detox', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
294,i happy my cardiovascular session today!,"['happy', 'cardiovascular', 'session', 'today', '!']","['happy', 'cardiovascular', 'session', 'today', '!']",Positive,1,0,Positive
295,i great my cycling session today!,"['great', 'cycling', 'session', 'today', '!']","['great', 'cycling', 'session', 'today', '!']",Positive,1,0,Positive
296,i fantastic my active lifestyle session today! It really made a difference in my fitness journey!,"['fantastic', 'active', 'lifestyle', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', 'journey', '!']","['fantastic', 'active', 'lifestyle', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', 'journey', '!']",Positive,1,0,Positive
297,today was the horrible day for my vitamins. I feel so worst about it.,"['today', 'horrible', 'day', 'vitamins', '.', 'feel', 'worst', '.']","['today', 'horrible', 'day', 'vitamins', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
298,today was the worst day for my hydration. I feel so worst about it.,"['today', 'worst', 'day', 'hydration', '.', 'feel', 'worst', '.']","['today', 'worst', 'day', 'hydration', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
299,today was the bad day for my cardio. I feel so bad about it.,"['today', 'bad', 'day', 'cardio', '.', 'feel', 'bad', '.']","['today', 'bad', 'day', 'cardio', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
300,i amazing my pilates session today!,"['amazing', 'pilates', 'session', 'today', '!']","['amazing', 'pilates', 'session', 'today', '!']",Positive,1,0,Positive
301,today was the horrible day for my bodyweight exercises. I feel so negative about it.,"['today', 'horrible', 'day', 'bodyweight', 'exercises', '.', 'feel', 'negative', '.']","['today', 'horrible', 'day', 'bodyweight', 'exercises', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
302,today was the poor day for my meal prep. I feel so hate about it.,"['today', 'poor', 'day', 'meal', 'prep', '.', 'feel', 'hate', '.']","['today', 'poor', 'day', 'meal', 'prep', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
303,i excellent my low-carb session today! It really made a difference in my strength training!,"['excellent', 'low-carb', 'session', 'today', '!', 'really', 'made', 'difference', 'strength', 'training', '!']","['excellent', 'low-carb', 'session', 'today', '!', 'really', 'made', 'difference', 'strength', 'training', '!']",Positive,1,0,Positive
304,i love my endurance session today! It really made a difference in my burpees!,"['love', 'endurance', 'session', 'today', '!', 'really', 'made', 'difference', 'burpees', '!']","['love', 'endurance', 'session', 'today', '!', 'really', 'made', 'difference', 'burpees', '!']",Positive,1,0,Positive
305,i fantastic my strength training session today!,"['fantastic', 'strength', 'training', 'session', 'today', '!']","['fantastic', 'strength', 'training', 'session', 'today', '!']",Positive,1,0,Positive
306,today was the bad day for my hiit. I feel so bad about it.,"['today', 'bad', 'day', 'hiit', '.', 'feel', 'bad', '.']","['today', 'bad', 'day', 'hiit', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
307,i love my carbohydrates session today! It really made a difference in my performance!,"['love', 'carbohydrates', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']","['love', 'carbohydrates', 'session', 'today', '!', 'really', 'made', 'difference', 'performance', '!']",Positive,1,0,Positive
308,i great my flexibility session today! It really made a difference in my calisthenics!,"['great', 'flexibility', 'session', 'today', '!', 'really', 'made', 'difference', 'calisthenics', '!']","['great', 'flexibility', 'session', 'today', '!', 'really', 'made', 'difference', 'calisthenics', '!']",Positive,1,0,Positive
309,i amazing my healthy lifestyle session today! It really made a difference in my training!,"['amazing', 'healthy', 'lifestyle', 'session', 'today', '!', 'really', 'made', 'difference', 'training', '!']","['amazing', 'healthy', 'lifestyle', 'session', 'today', '!', 'really', 'made', 'difference', 'training', '!']",Positive,1,0,Positive
310,i positive my fiber session today!,"['positive', 'fiber', 'session', 'today', '!']","['positive', 'fiber', 'session', 'today', '!']",Positive,1,0,Positive
311,today was the disappointing day for my detox. I feel so poor about it.,"['today', 'disappointing', 'day', 'detox', '.', 'feel', 'poor', '.']","['today', 'disappointing', 'day', 'detox', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
312,i excellent my superfoods session today!,"['excellent', 'superfoods', 'session', 'today', '!']","['excellent', 'superfoods', 'session', 'today', '!']",Positive,1,0,Positive
313,i happy my organic session today!,"['happy', 'organic', 'session', 'today', '!']","['happy', 'organic', 'session', 'today', '!']",Positive,1,0,Positive
314,i positive my calorie deficit session today! It really made a difference in my bodyweight exercises!,"['positive', 'calorie', 'deficit', 'session', 'today', '!', 'really', 'made', 'difference', 'bodyweight', 'exercises', '!']","['positive', 'calorie', 'deficit', 'session', 'today', '!', 'really', 'made', 'difference', 'bodyweight', 'exercises', '!']",Positive,1,0,Positive
315,today was the disappointing day for my antioxidants. I feel so sad about it.,"['today', 'disappointing', 'day', 'antioxidants', '.', 'feel', 'sad', '.']","['today', 'disappointing', 'day', 'antioxidants', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
316,i good my personal trainer session today!,"['good', 'personal', 'trainer', 'session', 'today', '!']","['good', 'personal', 'trainer', 'session', 'today', '!']",Positive,1,0,Positive
317,today was the bad day for my intermittent fasting. I feel so hate about it.,"['today', 'bad', 'day', 'intermittent', 'fasting', '.', 'feel', 'hate', '.']","['today', 'bad', 'day', 'intermittent', 'fasting', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
318,i excellent my sports session today!,"['excellent', 'sports', 'session', 'today', '!']","['excellent', 'sports', 'session', 'today', '!']",Positive,1,0,Positive
319,i great my portion control session today!,"['great', 'portion', 'control', 'session', 'today', '!']","['great', 'portion', 'control', 'session', 'today', '!']",Positive,1,0,Positive
320,i great my dietary restrictions session today!,"['great', 'dietary', 'restrictions', 'session', 'today', '!']","['great', 'dietary', 'restrictions', 'session', 'today', '!']",Positive,1,0,Positive
321,today was the negative day for my yoga. I feel so negative about it.,"['today', 'negative', 'day', 'yoga', '.', 'feel', 'negative', '.']","['today', 'negative', 'day', 'yoga', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
322,i excellent my meal prep session today!,"['excellent', 'meal', 'prep', 'session', 'today', '!']","['excellent', 'meal', 'prep', 'session', 'today', '!']",Positive,1,0,Positive
323,i positive my strength training session today! It really made a difference in my fitness journey!,"['positive', 'strength', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', 'journey', '!']","['positive', 'strength', 'training', 'session', 'today', '!', 'really', 'made', 'difference', 'fitness', 'journey', '!']",Positive,1,0,Positive
324,i good my portion control session today!,"['good', 'portion', 'control', 'session', 'today', '!']","['good', 'portion', 'control', 'session', 'today', '!']",Positive,1,0,Positive
325,today was the poor day for my gluten-free. I feel so worst about it.,"['today', 'poor', 'day', 'gluten-free', '.', 'feel', 'worst', '.']","['today', 'poor', 'day', 'gluten-free', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
326,today was the poor day for my cycling. I feel so disappointing about it.,"['today', 'poor', 'day', 'cycling', '.', 'feel', 'disappointing', '.']","['today', 'poor', 'day', 'cycling', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
327,today was the worst day for my burpees. I feel so sad about it.,"['today', 'worst', 'day', 'burpees', '.', 'feel', 'sad', '.']","['today', 'worst', 'day', 'burpees', '.', 'feel', 'sad', '.']",Negative,0,2,Negative
328,today was the worst day for my running. I feel so hate about it.,"['today', 'worst', 'day', 'running', '.', 'feel', 'hate', '.']","['today', 'worst', 'day', 'running', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
329,today was the negative day for my healthy snacks. I feel so worst about it.,"['today', 'negative', 'day', 'healthy', 'snacks', '.', 'feel', 'worst', '.']","['today', 'negative', 'day', 'healthy', 'snacks', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
330,i love my dietary restrictions session today! It really made a difference in my healthy lifestyle!,"['love', 'dietary', 'restrictions', 'session', 'today', '!', 'really', 'made', 'difference', 'healthy', 'lifestyle', '!']","['love', 'dietary', 'restrictions', 'session', 'today', '!', 'really', 'made', 'difference', 'healthy', 'lifestyle', '!']",Positive,1,0,Positive
331,today was the sad day for my superfoods. I feel so disappointing about it.,"['today', 'sad', 'day', 'superfoods', '.', 'feel', 'disappointing', '.']","['today', 'sad', 'day', 'superfoods', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
332,i amazing my vegetarian session today!,"['amazing', 'vegetarian', 'session', 'today', '!']","['amazing', 'vegetarian', 'session', 'today', '!']",Positive,1,0,Positive
333,i happy my cardiovascular session today! It really made a difference in my muscle gain!,"['happy', 'cardiovascular', 'session', 'today', '!', 'really', 'made', 'difference', 'muscle', 'gain', '!']","['happy', 'cardiovascular', 'session', 'today', '!', 'really', 'made', 'difference', 'muscle', 'gain', '!']",Positive,1,0,Positive
334,i happy my high-protein session today!,"['happy', 'high-protein', 'session', 'today', '!']","['happy', 'high-protein', 'session', 'today', '!']",Positive,1,0,Positive
335,today was the bad day for my training. I feel so disappointing about it.,"['today', 'bad', 'day', 'training', '.', 'feel', 'disappointing', '.']","['today', 'bad', 'day', 'training', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
336,i fantastic my detox session today!,"['fantastic', 'detox', 'session', 'today', '!']","['fantastic', 'detox', 'session', 'today', '!']",Positive,1,0,Positive
337,i positive my cycling session today!,"['positive', 'cycling', 'session', 'today', '!']","['positive', 'cycling', 'session', 'today', '!']",Positive,1,0,Positive
338,today was the horrible day for my push-up. I feel so hate about it.,"['today', 'horrible', 'day', 'push-up', '.', 'feel', 'hate', '.']","['today', 'horrible', 'day', 'push-up', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
339,i great my diet session today!,"['great', 'diet', 'session', 'today', '!']","['great', 'diet', 'session', 'today', '!']",Positive,1,0,Positive
340,today was the negative day for my recovery. I feel so hate about it.,"['today', 'negative', 'day', 'recovery', '.', 'feel', 'hate', '.']","['today', 'negative', 'day', 'recovery', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
341,today was the hate day for my cardiovascular. I feel so bad about it.,"['today', 'hate', 'day', 'cardiovascular', '.', 'feel', 'bad', '.']","['today', 'hate', 'day', 'cardiovascular', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
